"","age","simulated.male","simulated.female","empirical.male","empirical.female","age.1","simulated.male.1","simulated.female.1","empirical.male.1","empirical.female.1","age.2","simulated.male.2","simulated.female.2","empirical.male.2","empirical.female.2"
"10","0-10",-0.252699784017279,0.237687366167024,-0.213,0.202,"0-10",-0.163900414937759,0.132352941176471,-0.141,0.13,"0-10",-0.148373983739837,0.145228215767635,-0.14,0.127
"20","10-20",-0.222462203023758,0.177730192719486,-0.23,0.219,"10-20",-0.12448132780083,0.136554621848739,-0.152,0.141,"10-20",-0.191056910569106,0.161825726141079,-0.18,0.175
"30","20-30",-0.157667386609071,0.162740899357602,-0.185,0.172,"20-30",-0.174273858921162,0.134453781512605,-0.14,0.132,"20-30",-0.16869918699187,0.176348547717842,-0.157,0.159
"40","30-40",-0.144708423326134,0.149892933618844,-0.133,0.131,"30-40",-0.161825726141079,0.144957983193277,-0.146,0.141,"30-40",-0.184959349593496,0.201244813278008,-0.193,0.193
"50","40-50",-0.0950323974082073,0.115631691648822,-0.104,0.113,"40-50",-0.163900414937759,0.170168067226891,-0.155,0.152,"40-50",-0.142276422764228,0.141078838174274,-0.135,0.134
"60","50-60",-0.0755939524838013,0.0728051391862955,-0.0680000000000001,0.078,"50-60",-0.0912863070539419,0.100840336134454,-0.119,0.122,"50-60",-0.0772357723577236,0.074688796680498,-0.098,0.099
"70","60-70",-0.0367170626349892,0.0513918629550321,-0.04,0.05,"60-70",-0.0663900414937759,0.0819327731092437,-0.074,0.0790000000000001,"60-70",-0.0670731707317073,0.0560165975103734,-0.0609999999999999,0.0630000000000001
"80","70-80",-0.0107991360691144,0.0171306209850107,-0.0189999999999999,0.0249999999999999,"70-80",-0.033195020746888,0.0630252100840336,-0.049,0.0629999999999999,"70-80",-0.0101626016260163,0.033195020746888,-0.032,0.0379999999999999
"89","80+",0,0.00214132762312635,-0.005,0.00800000000000001,"80+",-0.00414937759336098,0.0189075630252101,-0.024,0.044,"80+",-0.00203252032520318,0.0020746887966806,-0.00700000000000012,0.012
