"","Males.degreee","Females.degree"
"1",7,4
"2",6,6
"3",5,11
"4",7,9
"5",5,8
"6",4,5
"7",6,11
"8",4,3
"9",3,8
"10",5,4
"11",4,3
"12",2,5
"13",7,4
"14",7,7
"15",6,4
"16",8,6
"17",6,5
"18",8,8
"19",3,3
"20",8,11
"21",6,4
"22",4,2
"23",6,9
"24",4,5
"25",10,3
"26",5,6
"27",7,8
"28",7,7
"29",6,6
"30",6,4
"31",6,7
"32",3,9
"33",6,2
"34",5,5
"35",3,6
"36",7,8
"37",11,4
"38",9,6
"39",8,6
"40",4,2
"41",11,7
"42",8,5
"43",9,5
"44",7,7
"45",14,6
"46",3,4
"47",7,3
"48",1,2
"49",3,3
"50",3,5
"51",3,5
"52",3,6
"53",8,3
"54",4,2
"55",3,6
"56",1,1
"57",1,4
"58",2,4
"59",1,1
"60",1,1
"61",0,1
"62",0,1
"63",0,1
"64",0,1
"65",0,1
"66",0,1
"67",0,1
"68",0,1
"69",0,1
"70",0,1
"71",0,1
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,0
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",0,0
"90",0,0
"91",0,0
"92",0,0
"93",0,0
"94",0,0
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,0
"100",0,0
